Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
tidak kak emak adalah tidak suka sama yang sxpxt wkwk,0,0,0,0,0,0,0,0,0,0,0,0
kelakuan hxmx jaman now ngxntxt saja sambil live di blued gxy video gvid lokal hangat,0,1,0,0,0,0,0,0,0,0,0,0
tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training lagi kayak mentang mentang gue kayak gxmbxl cuma kaos sama flat shoes bertanya dijutekin bxngsxt memang malas belinya juga kabur gue ke matahari,1,1,0,1,0,0,0,0,1,0,1,0
bxjxngxn yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji selamat ulang tahun pelaut jkt48,0,1,0,0,0,0,0,0,0,0,0,0
ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0
presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi,0,0,0,0,0,0,0,0,0,0,0,0
xdxn memang tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kxfxr bxjxt hxnx farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0
xnjxr baru kali ini lihat orang bxgx mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita a tutur djarot di hadapan peserta rakercabsua,0,0,0,0,0,0,0,0,0,0,0,0
apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
positif kok se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,0,0,0,0,0,0,0,0,0,0,0,0
kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu istilah lahir dari tradisi ritus yang tunggal sama dengan menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
kamu pendidikan tinggi tapi bxdxh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gxlx,1,1,1,0,0,0,0,0,1,1,0,0
ahok the best abaikan kaum kxmprxt otak micin,1,1,0,1,0,0,0,0,1,0,1,0
sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dxngx dan kalau tidak begitu dia tidak makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
